건축물동수,건축물연면적,사업장명,폐업일자,법인명,좌표X,좌표Y,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,보험가입여부코드,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지도자수,지번주소,회원모집총인원,관리번호,개방자치단체코드,공사립구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,,서울무도학원,2015-09-25,,192891.647750154,457465.815060946,무도학원업,2026-04-22 23:12:08,I,03,폐업,,2015-09-25 11:50:50,,1992-11-23,122-809,,서울특별시 은평구 갈현동 396-8,,CDFH3301111992000003,3110000,사립,서울특별시 은평구 통일로 855-16 (갈현동),,03,폐업,,,
,,은평무도학원,2005-01-21,,193818.798979242,456308.321186721,무도학원업,2026-04-22 23:12:09,I,03,폐업,0,2006-01-05 09:38:48,,1992-12-08,122-837,,서울특별시 은평구 대조동 15-34,,CDFH3301111992000004,3110000,사립,서울특별시 은평구 통일로 709  (대조동),,03,폐업,,,
,624,한양무도학원,2016-04-07,,192957.586581568,457526.152475541,무도학원업,2026-04-22 23:12:10,I,03,폐업,,2016-04-07 17:50:46,,1993-09-06,122-860,,서울특별시 은평구 불광동 486-20,,CDFH3301111993000001,3110000,사립,서울특별시 은평구 통일로80길 3 (불광동),03344,03,폐업,,,
,,응암무도학원,2005-11-15,,192480.448629367,454130.620015583,무도학원업,2026-04-22 23:12:10,I,03,폐업,0,2006-01-05 09:40:55,,1996-09-13,122-924,,서울특별시 은평구 응암동 590-23,,CDFH3301111996000001,3110000,사립,서울특별시 은평구 응암로13길 14  (응암동),,03,폐업,,,
0,0,연신무도연습장,1998-02-06,,193030.549438695,457283.116536759,무도학원업,2026-04-22 23:12:11,I,03,폐업,,2003-04-17 19:25:48,,1996-11-09,122-842,0,서울특별시 은평구 대조동 185-8,,CDFH3301111996000002,3110000,사립,서울특별시 은평구 통일로 835  (대조동),,03,폐업,,,
0,0,궁원무도연습장,2001-03-27,,193109.419843332,457278.802885165,무도학원업,2026-04-22 23:12:12,I,03,폐업,,2003-04-17 19:25:48,,1997-04-23,122-859,0,서울특별시 은평구 불광동 304-2,,CDFH3301111997000001,3110000,사립,서울특별시 은평구 통일로 830  (불광동),,03,폐업,,,
0,0,통일무도연습장,1999-05-20,,193846.493626916,456367.509113467,무도학원업,2026-04-22 23:12:13,I,03,폐업,,2003-04-17 19:25:48,,1997-05-16,122-858,0,서울특별시 은평구 불광동 281-178,,CDFH3301111997000002,3110000,사립,서울특별시 은평구 통일로 712-1  (불광동),,03,폐업,,,
0,0,쌍쌍,1998-07-03,,192888.942502003,457417.384961226,무도학원업,2026-04-22 23:12:13,I,03,폐업,,2003-04-17 19:25:48,,1998-02-04,122-809,0,서울특별시 은평구 갈현동 396-12,,CDFH3301111998000001,3110000,사립,서울특별시 은평구 통일로 855-8  (갈현동),,03,폐업,,,
0,0,보건,1999-09-18,,193742.48545918,456256.304132961,무도학원업,2026-04-22 23:12:14,I,03,폐업,,2003-04-17 19:25:48,,1998-04-27,122-837,0,서울특별시 은평구 대조동 15-129,,CDFH3301111998000002,3110000,사립,서울특별시 은평구 진흥로 183  (대조동),,03,폐업,,,
0,0,제일무도연습장,1999-02-26,,193784.756952473,456445.07450097,무도학원업,2026-04-22 23:12:14,I,03,폐업,,2003-04-17 19:25:48,,1998-05-14,122-858,0,서울특별시 은평구 불광동 281-100,,CDFH3301111998000003,3110000,사립,서울특별시 은평구 통일로 724  (불광동),,03,폐업,,,
