사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,비상시설위치,시설명건물명,시설구분명,최종수정시점,인허가취소일자,인허가일자,소재지면적,지번주소,관리번호,개방자치단체코드,해제일자,도로명주소,도로명우편번호,영업상태구분코드,영업상태명
사당4배수지,,197200.472747298,441636.646635696,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 사당동 산 45-6,사당4배수지,공공용시설,2025-07-23 16:13:02,,2019-01-30,3,서울특별시 동작구 사당동 산 45-6,3190000-E201900006,3190000,,"서울특별시 동작구 남부순환로255길 21 (사당동, 사당삼익그린뷰아파트)",07021,01,영업/정상
상도3배수지,,194483.286056252,443447.844817733,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 상도동 산 75번지 1호,상도3배수지,공공용시설,2025-07-23 16:13:51,,2019-01-30,7,서울특별시 동작구 상도동 산 75번지 1호,3190000-E201900007,3190000,,서울특별시 동작구 성대로6사길 27-6 (상도동),07049,01,영업/정상
노량진수산1호,,,,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 노량진동 13번지 21호,노량진수산1호,공공용시설,2025-07-23 16:03:11,,2019-12-24,109,서울특별시 동작구 노량진동 13번지 21호,3190000-E201900008,3190000,,,,01,영업/정상
노량진수산 2호,,,,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 노량진동 13번지 26호,노량진수산 2호,공공용시설,2025-07-23 16:04:11,,2019-12-24,114,서울특별시 동작구 노량진동 13번지 26호,3190000-E201900009,3190000,,,,01,영업/정상
노량진수산 3호,,,,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 노량진동 13번지 26호,노량진수산 3호,공공용시설,2025-07-23 16:05:10,,2019-12-24,111,서울특별시 동작구 노량진동 13번지 26호,3190000-E201900010,3190000,,,,01,영업/정상
달마사,,196572.291767108,443989.646863012,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 흑석동 산 60번지 29호,달마사,공공용시설,2025-07-23 15:51:20,,2019-12-24,70,서울특별시 동작구 흑석동 산 60번지 29호,3190000-E201900011,3190000,,,,01,영업/정상
리얼엔젤플러스(주),,197151.82771122,444977.899180176,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 흑석동 26-17 블루스톤스포츠,리얼엔젤플러스(주),공공용시설,2025-07-23 15:41:19,,2020-10-22,400,서울특별시 동작구 흑석동 26-17 블루스톤스포츠,3190000-E202000001,3190000,,"서울특별시 동작구 현충로 131, 블루스톤스포츠 (흑석동)",06904,01,영업/정상
보라매병원,,193235.493966882,443510.420778415,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 신대방동 425 서울특별시보라매병원,보라매병원,공공용시설,2025-07-23 15:38:07,,2020-10-23,93,서울특별시 동작구 신대방동 425 서울특별시보라매병원,3190000-E202000002,3190000,,"서울특별시 동작구 보라매로5길 20, 서울특별시보라매병원 (신대방동)",07061,01,영업/정상
상도노빌리티아파트 1호,,195342.564758023,444786.041400038,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 상도동 903 e편한세상 상도 노빌리티,상도노빌리티아파트 1호,공공용시설,2025-07-23 15:27:43,,2024-07-09,180,서울특별시 동작구 상도동 903 e편한세상 상도 노빌리티,3190000-E202400001,3190000,,"서울특별시 동작구 만양로 6 (상도동, e편한세상 상도 노빌리티)",06919,01,영업/정상
상도노빌리티아파트 2호,,195342.564758023,444786.041400038,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 상도동 903 e편한세상 상도 노빌리티,상도노빌리티아파트 2호,공공용시설,2025-07-23 15:29:08,,2024-07-09,180,서울특별시 동작구 상도동 903 e편한세상 상도 노빌리티,3190000-E202400002,3190000,,"서울특별시 동작구 만양로 6 (상도동, e편한세상 상도 노빌리티)",06919,01,영업/정상
상도노빌리티아파트 3호,,195342.564758023,444786.041400038,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 상도동 903 e편한세상 상도 노빌리티,상도노빌리티아파트 3호,공공용시설,2025-07-23 15:30:18,,2024-07-09,180,서울특별시 동작구 상도동 903 e편한세상 상도 노빌리티,3190000-E202400003,3190000,,"서울특별시 동작구 만양로 6 (상도동, e편한세상 상도 노빌리티)",06919,01,영업/정상
상도노빌리티아파트 4호,,195342.564758023,444786.041400038,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 상도동 903 e편한세상 상도 노빌리티,상도노빌리티아파트 4호,공공용시설,2025-07-23 15:31:27,,2024-07-09,180,서울특별시 동작구 상도동 903 e편한세상 상도 노빌리티,3190000-E202400004,3190000,,"서울특별시 동작구 만양로 6 (상도동, e편한세상 상도 노빌리티)",06919,01,영업/정상
우성스포츠센터,,191963.162407762,443343.723576129,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 신대방동 565-22 신대방동우성스포츠센타,우성스포츠센터,공공용시설,2026-01-22 13:39:31,,2026-01-20,61,서울특별시 동작구 신대방동 565-22 신대방동우성스포츠센타,3190000-E202600001,3190000,,"서울특별시 동작구 여의대방로 2, 신대방동우성스포츠센타 (신대방동)",07065,01,영업/정상
